sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1005_straingst	1093921004	51125565	70391	140.424	90.359									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_L37.fa.gz	44332	44285	70391	0.957	199.712	189.325	0.857	0.957	0.746	66.222	77.406	0.561	0.752
1	Esch_coli_BLK9.fa.gz	40898	6590	27992	0.932	74.866	69.385	0.324	0.932	0.677	5.099	4.201	0.178	0.262
2	Esch_coli_BL21_TaKaRa.fa.gz	44349	2708	21853	0.624	82.18	50.978	0.145	0.624	0.363	19.038	1.27	0.013	0.035
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1009_straingst	1774128929	66556645	61048	218.412	75.156									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_442_2.fa.gz	47236	47198	61048	0.889	253.352	221.684	0.798	0.889	0.887	75.156	59.94	0.498	0.561
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1011_straingst	1615545207	71530134	95754	140.283	83.146									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC9087.fa.gz	45206	45159	95754	0.969	202.649	194.308	0.66	0.969	0.822	10.788	54.876	0.493	0.6
1	Esch_coli_STEC299.fa.gz	47757	24461	52006	0.775	136.287	101.738	0.566	0.775	0.922	33.212	15.998	0.243	0.264
2	Esch_coli_LH09-a.fa.gz	45993	9604	33042	0.88	23.721	20.512	0.101	0.88	0.64	4.839	1.241	0.044	0.069
3	Esch_coli_SCU-104.fa.gz	49924	5964	24592	0.476	170.943	68.281	0.272	0.476	0.856	34.307	3.005	0.025	0.029
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1020_straingst	2056705396	70099914	61325	289.283	86.256									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
