cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 0,0,117,109,,52,57,8,5,19,39.3939393939394,51.3513513513513,47.0588235294118,26.3157894736842,50,evgS,226
Cluster 1,0,5,30,,17,8,3,1,3,12.8787878787879,7.20720720720721,17.6470588235294,5.26315789473684,7.89473684210526,evgS,35
Cluster 10,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 100,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 1000,0,2,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,2
Cluster 10000,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Kpne_OmpK37,1
Cluster 10001,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtP,1
Cluster 10002,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,ADC-255,1
Cluster 10003,0,0,2,,2,0,0,0,0,1.51515151515152,0,0,0,0,evgS,2
Cluster 10004,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,TolC,1
Cluster 10005,0,1,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtG,2
Cluster 10006,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,Ecol_acrA,1
Cluster 10007,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 10008,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,cpxA,1
Cluster 10009,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrY,1
Cluster 1001,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10010,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10011,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10012,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10013,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrA,1
Cluster 10014,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_mdfA,1
Cluster 10015,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtO,1
Cluster 10016,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_mdfA,1
Cluster 10017,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 10018,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,AcrF,1
Cluster 10019,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 1002,0,50,0,,9,17,2,4,11,6.81818181818182,15.3153153153153,11.7647058823529,21.0526315789474,28.9473684210526,mdtF,50
Cluster 10020,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Kpne_OmpK37,1
Cluster 10021,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10022,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 10023,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,EC-5,1
Cluster 10024,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10025,0,0,2,,2,0,0,0,0,1.51515151515152,0,0,0,0,lsaC,2
Cluster 10026,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,baeS,1
Cluster 10027,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 10028,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10029,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 1003,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10030,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 10031,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtC,1
Cluster 10032,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtH,1
Cluster 10033,0,0,2,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,2
Cluster 10034,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Eclo_acrA,1
Cluster 10035,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_ampC_BLA,1
Cluster 10036,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10037,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 10038,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 10039,0,0,4,,1,1,0,0,2,0.757575757575758,0.900900900900901,0,0,5.26315789473684,AAC6_Ie_APH2_Ia,4
Cluster 1004,0,2,0,,1,0,0,1,0,0.757575757575758,0,0,5.26315789473684,0,acrD,2
Cluster 10040,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10041,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 10042,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtH,1
Cluster 10043,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 10044,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_acrA,1
Cluster 10045,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,vanS_in_vanC_cl,1
Cluster 10046,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_acrA,1
Cluster 10047,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,EC-15,1
Cluster 10048,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_acrA,1
Cluster 10049,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtB,1
Cluster 1005,0,1,1,,1,1,0,0,0,0.757575757575758,0.900900900900901,0,0,0,acrD,2
Cluster 10050,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrD,1
Cluster 10051,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10052,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10053,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10054,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
