sampleid	picked
D1004	4
S1004	5
P1004	6
P2004	3
P3004	3
C1004	5
O1004	5
S1005	5
P1005	4
P2005	3
P3005	4
C1005	5
A1005	5
O1005	5
W1005	5
D1009	5
S1009	4
P1009	3
P2009	1
C1009	5
A1009	5
O1009	5
D1011	2
S1011	5
P1011	5
P2011	4
P3011	4
C1011	5
A1011	5
O1011	5
S1019	5
P1019	1
C1019	3
O1019	5
W1019	5
P1020	5
P2020	5
C1020	5
A1020	5
O1020	5
D1021	5
S1021	3
P1021	5
C1021	5
A1021	5
O1021	5
D1024	5
S1024	5
P1024	5
P2024	5
C1024	5
A1024	5
D1030	5
S1030	5
P1030	5
P2030	5
C1030	5
A1030	5
O1030	5
S1031	5
P2031	5
P3031	5
C1031	5
A1031	5
O1031	5
W1031	5
P1033	5
C1033	5
A1033	5
O1033	5
S1034	5
P1034	4
P2034	5
P3034	1
C1034	5
O1034	5
P1038	5
P2038	5
P3038	5
C1038	5
A1038	5
O1038	5
D1042	3
P1042	5
C1042	5
A1042	5
O1042	5
W1042	1
D1045	5
S1045	5
P1045	2
C1045	5
A1045	5
O1045	5
P1048	4
C1048	5
C2048	5
A1048	5
D1049	5
S1049	5
P1049	5
C1049	5
A1049	5
O1049	5
S1050	5
P1050	5
P2050	5
P3050	5
C1050	5
A1050	5
W1050	1
S1051	3
P1051	5
P2051	5
P3051	5
C1051	5
A1051	5
O1051	5
W1051	5
S1053	5
P1053	5
P2053	5
P3053	5
C1053	5
A1053	5
O1053	5
S1055	5
P1055	5
C1055	5
A1055	5
W1055	4
S1104	5
P1104	5
P2104	5
P3104	5
C1104	5
A1104	5
O1104	5
S1108	5
P1108	5
P2108	5
P3108	5
C1108	5
A1108	5
O1108	5
W1108	1
D1109	5
S1109	5
P1109	3
P2109	5
P3109	5
C1109	5
A1109	5
O1109	5
S1110	5
P1110	3
P2110	5
C1110	5
W1110	1
D1057	5
S1057	5
P1057	5
P2057	5
P3057	3
C1057	5
A1057	5
O1057	5
W1057	5
D1058	5
P1058	5
C1058	5
A1058	5
O1058	5
D1060	5
S1060	5
P1060	5
P2060	5
P3060	5
C1060	5
A1060	5
O1060	5
W1060	5
S1062	3
P1062	5
P2062	5
C1062	5
A1062	5
O1062	5
S1064	5
P1064	5
P2064	5
P3064	5
C1064	5
A1064	5
O1064	5
W1064	1
S1066	5
P1066	5
P2066	5
P3066	5
C1066	5
A1066	5
O1066	5
S1068	5
P1068	5
P2068	5
P3068	5
C2068	5
A1068	5
W1068	5
P1069	5
P2069	5
P3069	5
C1069	5
A1069	5
O1069	5
S1071	5
P1071	1
P2071	5
P3071	5
A1071	5
D1075	5
P1075	5
P2075	5
P3075	5
C1075	5
A1075	5
D1076	5
S1076	5
P1076	5
P2076	5
P3076	5
C1076	5
A1076	5
P1080	5
P2080	5
P3080	5
C1080	5
A1080	5
O1080	5
S1081	5
P1081	5
C1081	5
A1081	5
W1081	5
S1083	5
P1083	5
C1083	5
A1083	5
W1083	4
S1084	5
P1084	5
C1084	5
C2084	5
A1084	5
W1084	5
S1085	5
P1085	5
P2085	5
C1085	5
A1085	5
S1090	5
P1090	5
P2090	5
C1090	5
A1090	5
O1090	5
S1092	5
P1092	5
P2092	4
P3092	5
C1092	5
A1092	5
O1092	5
W1092	5
D1093	5
S1093	5
P1093	5
P2093	3
P3093	5
C1093	5
A1093	5
O1093	5
D1098	5
P1098	5
C1098	5
A1098	5
W1098	2
S1099	5
P1099	5
P2099	5
P3099	5
C1099	5
A1099	5
O1099	5
W1099	5
S1103	5
P1103	5
P2103	5
P3103	4
C1103	5
A1103	5
W1103	5
S1111	2
P1111	5
C1111	5
C2111	5
A1111	5
W1111	5
S1119	5
P1119	5
C1119	5
A1119	5
O1119	5
S1120	5
P1120	5
P2120	5
P3120	5
C1120	5
A1120	5
O1120	5
W1120	1
