iter,HH_type,rate.vs.overall,rate.vs.non,rate.vs.mob
1,Within,0.306051121361142,0.552384950749378,0.42921803605526
1,Between,0.222741095081656,0.156887206100992,0.395123333883981
2,Within,0.877097725852053,0.783789457144388,0.929350356328346
2,Between,0.0811482224919649,0.0959024447632313,0.304305834344868
3,Within,0.604637581225671,0.742733818913015,0.865900733607133
3,Between,0.29459415181859,0.37824434307572,0.458257569495584
4,Within,0.819378575707602,0.783122886517,0.884638816250686
4,Between,0.163663417676994,0.20003306604966,0.385518272750253
5,Within,0.477738335783246,0.481470666531552,0.552384950749378
5,Between,0.390986890188558,0.365167001213842,0.462913723760982
6,Within,0.727804495919789,0.753930811157935,0.862168402858827
6,Between,0.0639984764557886,-0.0263523138347365,0.429166253879994
7,Within,0.623597854078352,0.616346716240232,0.76862061084076
7,Between,0.327326835353989,0.363696483726654,0.47280542884465
8,Within,0.551086475697148,0.616346716240232,0.76862061084076
8,Between,0.370970413401187,0.385518272750253,0.480079358519183
9,Within,0.592647768339959,0.616041759195484,0.483475811014177
9,Between,0.314657773370556,0.346688804192709,0.393793261284109
10,Within,0.791254118641001,0.873365395103746,0.86963306435544
10,Between,0.290096267049137,0.080582296402538,0.374707678271802
11,Within,0.779799695184157,0.787597692135998,0.842183670798889
11,Between,-0.17317234805684,-0.286110835919996,0.00752923252421043
12,Within,0.623299234967204,0.809915772382534,0.705410511429949
12,Between,0.390986890188558,0.398364001324191,0.494266446087423
13,Within,0.841131989221963,0.826629713545723,0.906392229765047
13,Between,0.0949070752956621,-0.0794120425943295,0.120086503435328
14,Within,0.529990966259538,0.776324795647775,0.86963306435544
14,Between,0.124232336649472,0.323756998541048,0.53457550921894
15,Within,0.862885402736324,0.797625162193241,0.877387678412565
15,Between,0.200008116718414,0.117121870150423,0.486506229855602
16,Within,0.608243762243642,0.514667798821543,0.655031743954692
16,Between,0.25975852208526,0.350109312375785,0.301169300968417
17,Within,0.696109232459556,0.746867197326398,0.739616059488278
17,Between,0.162168743285201,0.17658374268833,0.11351812029964
18,Within,0.8472390798656,0.862168402858827,0.899491710341893
18,Between,0.406578556307363,0.380226242472627,0.647513997082097
19,Within,0.717862645973917,0.891889954088806,0.913643367603167
19,Between,0.403703096936586,0.541907760752715,0.67283849489431
20,Within,0.630848991916472,0.76862061084076,0.884638816250686
20,Between,0.407340061773853,0.360059518889387,0.407340061773853
21,Within,0.638819934794547,0.715096941934194,0.743700819611562
21,Between,0.153075056064388,0.0405741112459825,0.212091945149454
22,Within,0.688858094621435,0.841131989221963,0.783122886517
22,Between,-0.0270281238808668,-0.0252262489554757,-0.0522543728363424
23,Within,0.619908465479892,0.665673519978407,0.694796736477463
23,Between,-0.101835015443463,-0.0181848241863327,-0.00363696483726654
24,Within,0.725113783812037,0.77587174867888,0.855634264898204
24,Between,0.409025608063784,0.333346861197357,0.479298730154037
25,Within,0.804876300031361,0.870136540574445,0.884638816250686
25,Between,0.296928723209235,0.309838667696593,0.566193279659846
26,Within,0.63822855796043,0.83604208762068,0.809915772382534
26,Between,0.0109108945117996,0.236402714422325,-0.00727392967453308
27,Within,0.641960888708737,0.716607503674869,0.757663141906242
27,Between,0.154349266746314,0.131761569173682,0.0489400114073678
28,Within,0.477738335783246,0.537455627756152,0.832309756872374
28,Between,-0.0981980506061966,-0.0581914373962646,-0.0836501912571304
29,Within,0.761395472654548,0.809915772382534,0.906956371838506
29,Between,0.317215778832227,0.376232667917292,0.527463446197772
