cds,sample,ref,ARG,mobility,size,cluster
A1005_Esch_coli_BL21_TaKaRa_NODE_1_length_163853_cov_117.524280_54,A1005,Esch_coli_BL21_TaKaRa,gb|BAA16344.1|ARO:3000491|acrD,non-mobile,13113,Cluster 952
A1005_Esch_coli_BL21_TaKaRa_NODE_10_length_71165_cov_127.924357_19,A1005,Esch_coli_BL21_TaKaRa,gb|BAE77778.1|ARO:3000508|gadX,non-mobile,10824,Cluster 11055
A1005_Esch_coli_BL21_TaKaRa_NODE_10_length_71165_cov_127.924357_20,A1005,Esch_coli_BL21_TaKaRa,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,10728,Cluster 12395
A1005_Esch_coli_BL21_TaKaRa_NODE_10_length_71165_cov_127.924357_21,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76539.1|ARO:3000796|mdtF,non-mobile,13113,Cluster 953
A1005_Esch_coli_BL21_TaKaRa_NODE_10_length_71165_cov_127.924357_22,A1005,Esch_coli_BL21_TaKaRa,gb|BAE77781.1|ARO:3000795|mdtE,non-mobile,11157,Cluster 8671
A1005_Esch_coli_BL21_TaKaRa_NODE_13_length_67095_cov_107.684949_21,A1005,Esch_coli_BL21_TaKaRa,gb|AAC73565.1|ARO:3004043|Ecol_acrA,mobile,11193,Cluster 7581
A1005_Esch_coli_BL21_TaKaRa_NODE_13_length_67095_cov_107.684949_22,A1005,Esch_coli_BL21_TaKaRa,gb|AAC73564.1|ARO:3000216|acrB,non-mobile,13149,Cluster 318
A1005_Esch_coli_BL21_TaKaRa_NODE_134_length_7290_cov_451.186593_1,A1005,Esch_coli_BL21_TaKaRa,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,mobile,5528,Cluster 11177
A1005_Esch_coli_BL21_TaKaRa_NODE_134_length_7290_cov_451.186593_2,A1005,Esch_coli_BL21_TaKaRa,gb|AAL59753.1|ARO:3000412|sul2,mobile,6404,Cluster 9989
A1005_Esch_coli_BL21_TaKaRa_NODE_134_length_7290_cov_451.186593_7,A1005,Esch_coli_BL21_TaKaRa,gb|AAN06707.1|ARO:3000165|tet(A),mobile,7289,Cluster 7542
A1005_Esch_coli_BL21_TaKaRa_NODE_139_length_5976_cov_67.573214_7,A1005,Esch_coli_BL21_TaKaRa,gb|BAA15221.2|ARO:3000263|marA,non-mobile,5975,Cluster 18691
A1005_Esch_coli_BL21_TaKaRa_NODE_14_length_65667_cov_99.775148_46,A1005,Esch_coli_BL21_TaKaRa,gb|WP_063610930.1|ARO:3006876|EC-15,mobile,11166,Cluster 8112
A1005_Esch_coli_BL21_TaKaRa_NODE_14_length_65667_cov_99.775148_8,A1005,Esch_coli_BL21_TaKaRa,gb|BAE78116.1|ARO:3003576|eptA,non-mobile,11643,Cluster 3693
A1005_Esch_coli_BL21_TaKaRa_NODE_15_length_63523_cov_84.854415_11,A1005,Esch_coli_BL21_TaKaRa,gb|AAC74149.2|ARO:3001216|mdtH,mobile,11208,Cluster 7284
A1005_Esch_coli_BL21_TaKaRa_NODE_155_length_4556_cov_123.611864_1,A1005,Esch_coli_BL21_TaKaRa,gb|AFH35853.1|ARO:3001328|Ecol_mdfA,not known,4555,Cluster 6590
A1005_Esch_coli_BL21_TaKaRa_NODE_16_length_60690_cov_117.767049_35,A1005,Esch_coli_BL21_TaKaRa,gb|AAC74000.1|ARO:3003950|msbA,mobile,11748,Cluster 3328
A1005_Esch_coli_BL21_TaKaRa_NODE_17_length_58596_cov_128.977742_48,A1005,Esch_coli_BL21_TaKaRa,gb|BAE77933.1|ARO:3000518|CRP,non-mobile,10632,Cluster 13943
A1005_Esch_coli_BL21_TaKaRa_NODE_184_length_3291_cov_36.958591_2,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75089.1|ARO:3003577|ugd,not known,3290,Cluster 8113
A1005_Esch_coli_BL21_TaKaRa_NODE_22_length_52612_cov_129.611983_17,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75314.1|ARO:3003578|PmrF,mobile,10968,Cluster 10235
A1005_Esch_coli_BL21_TaKaRa_NODE_230_length_1523_cov_120.906676_1,A1005,Esch_coli_BL21_TaKaRa,gb|ACN32294.1|ARO:3000237|TolC,not known,1522,Cluster 6430
A1005_Esch_coli_BL21_TaKaRa_NODE_250_length_1121_cov_576.829268_1,A1005,Esch_coli_BL21_TaKaRa,gb|AAC23556.1|ARO:3002660|APH(6)-Id,not known,1120,Cluster 11195
A1005_Esch_coli_BL21_TaKaRa_NODE_250_length_1121_cov_576.829268_2,A1005,Esch_coli_BL21_TaKaRa,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,not known,1120,Cluster 10164
A1005_Esch_coli_BL21_TaKaRa_NODE_273_length_914_cov_21.469150_1,A1005,Esch_coli_BL21_TaKaRa,gb|CAA77936.1|ARO:3004039|Ecol_emrE,not known,913,Cluster 20642
A1005_Esch_coli_BL21_TaKaRa_NODE_30_length_40805_cov_104.117423_6,A1005,Esch_coli_BL21_TaKaRa,gb|BAA11237.1|ARO:3000254|emrY,non-mobile,11538,Cluster 4243
A1005_Esch_coli_BL21_TaKaRa_NODE_30_length_40805_cov_104.117423_7,A1005,Esch_coli_BL21_TaKaRa,gb|BAA11236.1|ARO:3000206|emrK,non-mobile,11163,Cluster 8477
A1005_Esch_coli_BL21_TaKaRa_NODE_30_length_40805_cov_104.117423_8,A1005,Esch_coli_BL21_TaKaRa,gb|BAB36671.1|ARO:3000832|evgA,non-mobile,10614,Cluster 14263
A1005_Esch_coli_BL21_TaKaRa_NODE_30_length_40805_cov_104.117423_9,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75429.1|ARO:3000833|evgS,non-mobile,13593,Cluster 0
A1005_Esch_coli_BL21_TaKaRa_NODE_301_length_676_cov_424.017713_1,A1005,Esch_coli_BL21_TaKaRa,gb|AHK10285.1|ARO:3002859|dfrA14,not known,675,Cluster 16327
A1005_Esch_coli_BL21_TaKaRa_NODE_348_length_470_cov_31.638554_1,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76093.1|ARO:3002986|bacA,not known,469,Cluster 17349
A1005_Esch_coli_BL21_TaKaRa_NODE_38_length_36921_cov_149.163104_11,A1005,Esch_coli_BL21_TaKaRa,gb|BAE78084.1|ARO:3003548|mdtN,non-mobile,11031,Cluster 9704
A1005_Esch_coli_BL21_TaKaRa_NODE_38_length_36921_cov_149.163104_12,A1005,Esch_coli_BL21_TaKaRa,gb|BAE78083.1|ARO:3003549|mdtO,non-mobile,12051,Cluster 2772
A1005_Esch_coli_BL21_TaKaRa_NODE_38_length_36921_cov_149.163104_13,A1005,Esch_coli_BL21_TaKaRa,gb|BAE78082.1|ARO:3003550|mdtP,non-mobile,11466,Cluster 5005
A1005_Esch_coli_BL21_TaKaRa_NODE_42_length_32785_cov_97.620562_7,A1005,Esch_coli_BL21_TaKaRa,gb|AAC73788.1|ARO:3003841|kdpE,non-mobile,10677,Cluster 13201
A1005_Esch_coli_BL21_TaKaRa_NODE_44_length_32222_cov_98.391239_15,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75135.2|ARO:3000792|mdtA,non-mobile,11367,Cluster 5903
A1005_Esch_coli_BL21_TaKaRa_NODE_44_length_32222_cov_98.391239_16,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75136.1|ARO:3000793|mdtB,non-mobile,13122,Cluster 576
A1005_Esch_coli_BL21_TaKaRa_NODE_44_length_32222_cov_98.391239_17,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75137.1|ARO:3000794|mdtC,non-mobile,12279,Cluster 1847
A1005_Esch_coli_BL21_TaKaRa_NODE_44_length_32222_cov_98.391239_19,A1005,Esch_coli_BL21_TaKaRa,gb|BAA15934.1|ARO:3000829|baeS,non-mobile,7789,Cluster 5359
A1005_Esch_coli_BL21_TaKaRa_NODE_44_length_32222_cov_98.391239_20,A1005,Esch_coli_BL21_TaKaRa,gb|BAA15935.1|ARO:3000828|baeR,non-mobile,6389,Cluster 12541
A1005_Esch_coli_BL21_TaKaRa_NODE_442_length_263_cov_0.975962_1,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76093.1|ARO:3002986|bacA,not known,262,Cluster 32197
A1005_Esch_coli_BL21_TaKaRa_NODE_47_length_31654_cov_127.564417_10,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76296.1|ARO:3000656|AcrS,mobile,10662,Cluster 13489
A1005_Esch_coli_BL21_TaKaRa_NODE_47_length_31654_cov_127.564417_8,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76298.1|ARO:3000502|AcrF,mobile,13104,Cluster 1565
A1005_Esch_coli_BL21_TaKaRa_NODE_47_length_31654_cov_127.564417_9,A1005,Esch_coli_BL21_TaKaRa,gb|AAC76297.1|ARO:3000499|AcrE,mobile,11157,Cluster 8672
A1005_Esch_coli_BL21_TaKaRa_NODE_5_length_89549_cov_124.784410_27,A1005,Esch_coli_BL21_TaKaRa,gb|BAB38260.1|ARO:3000830|cpxA,non-mobile,11373,Cluster 5639
A1005_Esch_coli_BL21_TaKaRa_NODE_571_length_108_cov_112.490566_1,A1005,Esch_coli_BL21_TaKaRa,gb|ABK33456.1|ARO:3002639|APH(3'')-Ib,not known,107,Cluster 10164
A1005_Esch_coli_BL21_TaKaRa_NODE_59_length_24172_cov_121.529585_5,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75733.1|ARO:3000074|emrB,non-mobile,10635,Cluster 4244
A1005_Esch_coli_BL21_TaKaRa_NODE_59_length_24172_cov_121.529585_6,A1005,Esch_coli_BL21_TaKaRa,gb|BAA16547.1|ARO:3000027|emrA,non-mobile,11172,Cluster 7892
A1005_Esch_coli_BL21_TaKaRa_NODE_59_length_24172_cov_121.529585_7,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75731.1|ARO:3000516|emrR,non-mobile,10530,Cluster 15398
A1005_Esch_coli_BL21_TaKaRa_NODE_71_length_20525_cov_106.777088_20,A1005,Esch_coli_BL21_TaKaRa,gb|ABV18113.1|ARO:3001329|mdtG,non-mobile,8607,Cluster 6256
A1005_Esch_coli_BL21_TaKaRa_NODE_8_length_77206_cov_95.769621_44,A1005,Esch_coli_BL21_TaKaRa,gb|BAB35162.1|ARO:3000676|H-NS,non-mobile,10413,Cluster 16560
A1005_Esch_coli_BL21_TaKaRa_NODE_9_length_72405_cov_93.666759_5,A1005,Esch_coli_BL21_TaKaRa,gb|AAC75271.1|ARO:3003952|YojI,non-mobile,10721,Cluster 3692
A1005_Esch_coli_BLK9_NODE_1_length_163832_cov_117.433681_54,A1005,Esch_coli_BLK9,gb|BAA16344.1|ARO:3000491|acrD,non-mobile,13113,Cluster 952
A1005_Esch_coli_BLK9_NODE_10_length_71165_cov_127.922050_19,A1005,Esch_coli_BLK9,gb|BAE77778.1|ARO:3000508|gadX,non-mobile,10824,Cluster 11055
A1005_Esch_coli_BLK9_NODE_10_length_71165_cov_127.922050_20,A1005,Esch_coli_BLK9,gb|ANK04027.1|ARO:3003838|gadW,non-mobile,10728,Cluster 12395
