sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	multi	multiPct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	BnotA	BnotApct	Agaps	AgapPct	Bgaps	BgapPct	gapJaccardSim	sample1_hh	sample2_hh	HH_type	sample1_host	sample2_host
A1005	C1045	na	NZ_CP010816.1	4528118	314622	6.9482	311513	99.0118	310452	99.6594	3109	0.9882	313561	99.6628	4717	1.4993	3656	77.5069	669	14.1827	3190	67.6277	713	15.1155	54276	50.2027	26816	100	0.9939	005	045	Between	Human	Human
A1005	D1024	na	NZ_CP014641.1	4165587	26278	0.6308	25638	97.5645	25376	98.9781	640	2.4355	26008	98.9725	980	3.7294	710	72.449	167	17.0408	392	40	319	32.551	8164	0	0	0	0.998	005	024	Between	Human	Animal
A1005	O1005	na	NZ_CP014641.1	4165587	24178	0.5804	23530	97.3199	23292	98.9885	648	2.6801	23933	98.9867	957	3.9581	712	74.3992	169	17.6594	405	42.3197	310	32.3929	8164	0	0	0	0.998	005	005	Within	Human	Human
A1005	P1080	na	NZ_CP014641.1	4165587	35071	0.8419	34763	99.1218	34226	98.4553	308	0.8782	34525	98.4432	971	2.7687	425	43.7693	126	12.9763	448	46.138	333	34.2945	8164	100	42747	22.7782	0.9917	005	080	Between	Human	Animal
A1005	P1103	na	NZ_CP014641.1	4165587	34287	0.8231	33808	98.603	33452	98.947	479	1.397	33918	98.9238	942	2.7474	573	60.828	145	15.3928	423	44.9045	321	34.0764	8164	100	21524	37.6882	0.9968	005	103	Between	Human	Animal
A1005	P2009	na	NZ_CP014641.1	4165587	34169	0.8203	33799	98.9171	33377	98.7514	370	1.0829	33741	98.7474	876	2.5637	448	51.1416	95	10.8447	439	50.1142	284	32.4201	8164	0	0	0	0.998	005	009	Between	Human	Animal
A1005	P2093	na	NZ_CP014641.1	4165587	29208	0.7012	28725	98.3463	28352	98.7015	483	1.6537	28827	98.6956	947	3.2423	566	59.7677	131	13.8332	385	40.6547	363	38.3316	8164	0	12309	0	0.9951	005	093	Between	Human	Animal
A1005	P3053	na	NZ_CP014641.1	4165587	41006	0.9844	40617	99.0514	40050	98.604	389	0.9486	40431	98.5978	1098	2.6777	523	47.6321	166	15.1184	327	29.7814	556	50.6375	8164	100	33076	24.5223	0.994	005	053	Between	Human	Animal
A1005	P3093	na	NZ_CP014641.1	4165587	44411	1.0661	43883	98.8111	43293	98.6555	528	1.1889	43815	98.658	1251	2.8169	655	52.3581	179	14.3086	451	36.0512	538	43.0056	8164	0	12263	0	0.9951	005	093	Between	Human	Animal
A1009	C1009	na	NZ_CP076282.1	4831855	3643590	75.4077	3640571	99.9171	3639995	99.9842	3019	0.0829	3643014	99.9842	12808	0.3515	12232	95.5028	9356	73.0481	545	4.2552	2082	16.2555	253240	82.6801	121203	100	0.9718	009	009	Within	Human	Human
