,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000003237|fis|WP_000462905.1|integration/excision|replication/recombination/repair|Multiple|Manual,ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_11842-17080_ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_18_4 # 3469 # 3765 # 1 # ID=4_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.471,100.0,189.0,98,1.9899999999999996e-63,99,1,98,1,98,mobileOG_000003237,fis,WP_000462905.1,integration/excision,replication/recombination/repair,Multiple,Manual,ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_11842-17080_ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_18_4, 3469 # 3765 # 1 , 3469,3765,1 ,4_4,4,4,00,ATG,GGA/GAG/AGG,11-12bp,0.471,ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_11842-17080_ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_18,mobileOG_000003237_ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_11842-17080_ratio1_Esch_coli_14EC033_NODE_44_length_17080_cov_88.590426_18
1,mobileOG_000333812|alkB|WP_000884953.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_6626-14466_ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_9_5 # 4275 # 4925 # 1 # ID=10_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.528,99.5,456.0,216,2.9199999999999987e-165,217,1,216,1,216,mobileOG_000333812,alkB,WP_000884953.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_6626-14466_ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_9_5, 4275 # 4925 # 1 , 4275,4925,1 ,10_5,10,5,00,ATG,AGGAG,5-10bp,0.528,ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_6626-14466_ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_9,mobileOG_000333812_ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_6626-14466_ratio1_Esch_coli_14EC033_NODE_67_length_14466_cov_58.334814_9
2,mobileOG_000321643|ecnB|WP_000977757.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10_5 # 3505 # 3627 # 1 # ID=11_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.545,100.0,78.6,41,3.3500000000000002e-21,41,2,41,1,40,mobileOG_000321643,ecnB,WP_000977757.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10_5, 3505 # 3627 # 1 , 3505,3627,1 ,11_5,11,5,00,ATG,GGA/GAG/AGG,5-10bp,0.545,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10,mobileOG_000321643_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10
3,mobileOG_000330413|ecnB|ETJ37164.1|stability/transfer/defense|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10_6 # 3738 # 3884 # 1 # ID=11_6;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.490,100.0,88.2,48,8.370000000000002e-25,49,1,48,1,48,mobileOG_000330413,ecnB,ETJ37164.1,stability/transfer/defense,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10_6, 3738 # 3884 # 1 , 3738,3884,1 ,11_6,11,6,00,ATG,AGGA,5-10bp,0.490,ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10,mobileOG_000330413_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_1370-12536_ratio1_Esch_coli_14EC033_NODE_91_length_13082_cov_65.668535_10
4,mobileOG_000026107|parE|P20083|replication/recombination/repair|partitioning|Multiple|Manual,ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_784-11154_ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_9_12 # 9201 # 10370 # 1 # ID=20_12;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535,100.0,789.0,630,2.0899999999999986e-287,390,1,390,1,390,mobileOG_000026107,parE,P20083,replication/recombination/repair,partitioning,Multiple,Manual,ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_784-11154_ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_9_12, 9201 # 10370 # 1 , 9201,10370,1 ,20_12,20,12,01,ATG,None,None,0.535,ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_784-11154_ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_9,mobileOG_000026107_ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_784-11154_ratio1_Esch_coli_14EC033_NODE_110_length_11154_cov_77.777548_9
5,"mobileOG_000025806|cca|J7Q9S8|phage|regulation,infection|Multiple|Manual",ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1-5150_ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1_2 # 331 # 1569 # -1 # ID=27_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.565,98.8,833.0,412,6.909999999999995e-308,413,1,412,1,412,mobileOG_000025806,cca,J7Q9S8,phage,"regulation,infection",Multiple,Manual,ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1-5150_ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1_2, 331 # 1569 # -1 , 331,1569,-1 ,27_2,27,2,00,GTG,GGA/GAG/AGG,5-10bp,0.565,ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1-5150_ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1,mobileOG_000025806_ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1-5150_ratio1_Esch_coli_14EC033_NODE_165_length_8331_cov_72.833011_1
6,mobileOG_000326289|alkB|WP_000884919.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_30354-41997_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_35_8 # 6720 # 7370 # -1 # ID=52_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.525,99.5,456.0,216,2.0499999999999994e-165,217,1,216,1,216,mobileOG_000326289,alkB,WP_000884919.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_30354-41997_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_35_8, 6720 # 7370 # -1 , 6720,7370,-1 ,52_8,52,8,00,ATG,AGGAG,5-10bp,0.525,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_30354-41997_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_35,mobileOG_000326289_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_30354-41997_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_35
7,mobileOG_000304542|traG|WP_001297077.1|transfer|conjugation|Plasmid RefSeq|Homology,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_79016-89984_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_68_5 # 2948 # 3550 # -1 # ID=53_5;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.436,100.0,406.0,200,4.009999999999999e-146,201,1,200,1,200,mobileOG_000304542,traG,WP_001297077.1,transfer,conjugation,Plasmid RefSeq,Homology,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_79016-89984_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_68_5, 2948 # 3550 # -1 , 2948,3550,-1 ,53_5,53,5,00,GTG,GGAG/GAGG,5-10bp,0.436,ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_79016-89984_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_68,mobileOG_000304542_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_79016-89984_ratio1_Esch_coli_2011C-3911_NODE_1_length_225591_cov_75.610878_68
8,"mobileOG_000025715|ihfB|WP_002898165.1|integration/excision|regulation,lysis/lysogeny|Plasmid RefSeq|Manual",ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_89863-101611_ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_85_9 # 9257 # 9541 # -1 # ID=58_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.491,97.8,187.0,95,8.879999999999998e-63,95,1,93,1,93,mobileOG_000025715,ihfB,WP_002898165.1,integration/excision,"regulation,lysis/lysogeny",Plasmid RefSeq,Manual,ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_89863-101611_ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_85_9, 9257 # 9541 # -1 , 9257,9541,-1 ,58_9,58,9,00,ATG,GGAGG,3-4bp,0.491,ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_89863-101611_ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_85,mobileOG_000025715_ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_89863-101611_ratio1_Esch_coli_2011C-3911_NODE_2_length_205706_cov_83.297416_85
9,mobileOG_000003237|fis|WP_000462905.1|integration/excision|replication/recombination/repair|Multiple|Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_451-13555_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_8_12 # 11571 # 11867 # -1 # ID=61_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.471,100.0,189.0,98,1.9899999999999996e-63,99,1,98,1,98,mobileOG_000003237,fis,WP_000462905.1,integration/excision,replication/recombination/repair,Multiple,Manual,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_451-13555_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_8_12, 11571 # 11867 # -1 , 11571,11867,-1 ,61_12,61,12,00,ATG,GGA/GAG/AGG,11-12bp,0.471,ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_451-13555_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_8,mobileOG_000003237_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_451-13555_ratio1_Esch_coli_2011C-3911_NODE_5_length_126126_cov_91.424935_8
