Esch_albertii_Sample_165.fa	albertii
Esch_coli_027_SK3.fa	A
Esch_coli_10.fa	A
Esch_coli_103605.fa	B1
Esch_coli_1105.fa	B2
Esch_coli_1190.fa	D
Esch_coli_1283.fa	A
Esch_coli_135_GCF_019431185.1.fa	E
Esch_coli_13C1065T.fa	A
Esch_coli_13C1079T.fa	B1
Esch_coli_13P460A.fa	B1
Esch_coli_13P477T.fa	G
Esch_coli_1409.fa	A
Esch_coli_144.fa	D
Esch_coli_14EC007.fa	A
Esch_coli_14EC033.fa	E
Esch_coli_1500.fa	A
Esch_coli_1585m1.fa	B1
Esch_coli_162_2.fa	A
Esch_coli_190693.fa	D
Esch_coli_1919D62.fa	A
Esch_coli_1943.fa	B1
Esch_coli_19SZHZ663Rt.fa	B1
Esch_coli_19SZHZ886Rt.fa	A
Esch_coli_20.fa	F
Esch_coli_2011C-3911.fa	B1
Esch_coli_2012C-4502.fa	G
Esch_coli_2013C-4282.fa	cladeI
Esch_coli_2014C-3338.fa	G
Esch_coli_2017_01_04CC.fa	A
Esch_coli_2017_04_03CC.fa	A
Esch_coli_2017_09_02CC.fa	G
Esch_coli_2017_11_01CC.fa	A
Esch_coli_2018-02-2CC.fa	A
Esch_coli_2018-06-4CC.fa	A
Esch_coli_2018-11-3CC.fa	A
Esch_coli_2018-18_25PC.fa	A
Esch_coli_2EC1.fa	A
Esch_coli_2_HS-C.fa	A
Esch_coli_30COLEC.fa	A
Esch_coli_362.fa	D
Esch_coli_382634_2f.fa	B2
Esch_coli_40EC.fa	B1
Esch_coli_442_2.fa	B1
Esch_coli_53.fa	B1
Esch_coli_600468.fa	B1
Esch_coli_61.fa	B1
Esch_coli_63-2.fa	A
Esch_coli_64_1.fa	G
Esch_coli_68.fa	D
Esch_coli_81.fa	A
Esch_coli_88-3493.fa	E
Esch_coli_90-9272.fa	A
Esch_coli_A11.fa	B1
Esch_coli_A23.fa	A
Esch_coli_A29.fa	A
Esch_coli_AH04.fa	A
Esch_coli_AMSCJX02.fa	B1
Esch_coli_APEC_O2-211.fa	G
Esch_coli_AR435.fa	A
Esch_coli_AR_0061.fa	A
Esch_coli_AR_0069.fa	C
Esch_coli_AR_0114.fa	A
Esch_coli_AR_0369.fa	A
Esch_coli_AR_0374.fa	B1
Esch_coli_ATCC_8739.fa	A
Esch_coli_B379.fa	A
Esch_coli_BE2-5.fa	A
Esch_coli_BE311.fa	A
Esch_coli_BEC1-S17-ESBL-07.fa	B1
Esch_coli_BEC1-S17-ESBL-09.fa	E
Esch_coli_BL21_TaKaRa.fa	A
Esch_coli_BLK9.fa	A
Esch_coli_BMH-17-0027.fa	B1
Esch_coli_C2.fa	B1
Esch_coli_C21.fa	B1
Esch_coli_CE10.fa	F
Esch_coli_CFS3246.fa	A
Esch_coli_CFSAN061761.fa	A
Esch_coli_CFSAN061768.fa	D
Esch_coli_CFSAN061769.fa	B1
Esch_coli_CFSAN061772.fa	A
Esch_coli_CFSAN064036.fa	A
Esch_coli_CI5.fa	B1
Esch_coli_CIT.fa	A
Esch_coli_CPww7.fa	B1
Esch_coli_CT02.fa	A
Esch_coli_CU37RT-2.fa	B2
Esch_coli_Combat11I9.fa	E
Esch_coli_Combat13F7.fa	A
Esch_coli_D4.fa	A
Esch_coli_DE17.fa	B2
Esch_coli_DEC5E.fa	E
Esch_coli_E110019.fa	B1
Esch_coli_E706.fa	A
Esch_coli_EA2.fa	A
Esch_coli_EA7.fa	A
Esch_coli_EC-107.fa	A
Esch_coli_EC-1639.fa	D
Esch_coli_EC-7215.fa	B1
Esch_coli_EC15.fa	B1
Esch_coli_EC1722-1.fa	C
Esch_coli_EC2.fa	A
Esch_coli_EC21Z-014.fa	B1
Esch_coli_EC21Z-048.fa	B1
Esch_coli_EC42405.fa	cladeI
Esch_coli_EC50.fa	A
Esch_coli_EC6563.fa	A
Esch_coli_EC96.fa	A
Esch_coli_ECCHD184.fa	A
Esch_coli_ECNB21-M121.fa	E
Esch_coli_EFF60.fa	D
Esch_coli_EH10-18-47.fa	A
Esch_coli_EM10-18-28.fa	F
Esch_coli_EM20-18-50.fa	A
Esch_coli_EV36.fa	Unknown
Esch_coli_Ec-RL2-1X.fa	A
Esch_coli_EcMAD1.fa	C
Esch_coli_EcPF14.fa	B2
Esch_coli_EcPF15.fa	D
Esch_coli_EcPF16.fa	A
Esch_coli_EcPF20.fa	B1
Esch_coli_EcPF7.fa	B2
Esch_coli_Eco-15.fa	B2
Esch_coli_Ecol_AZ147.fa	A
Esch_coli_Ecol_AZ155.fa	A
Esch_coli_F5656C1.fa	A
Esch_coli_FDAARGOS_1077.fa	A
Esch_coli_FDAARGOS_1276.fa	D
Esch_coli_FDAARGOS_1283.fa	B2
Esch_coli_FDAARGOS_1289.fa	D
Esch_coli_FDAARGOS_1291.fa	D
Esch_coli_FDAARGOS_1337.fa	A
Esch_coli_FDAARGOS_348.fa	B1
Esch_coli_FORC_041.fa	B1
Esch_coli_G3X16-2.fa	B1
Esch_coli_G3_10.fa	A
Esch_coli_G4_9.fa	A
Esch_coli_G6_7.fa	A
Esch_coli_GD33.fa	A
Esch_coli_GDAR2-2.fa	B1
Esch_coli_GSH8M-2.fa	A
Esch_coli_H1.fa	A
Esch_coli_H14.fa	B1
Esch_coli_H15.fa	B1
Esch_coli_H2_GCF_001900795.1.fa	A
Esch_coli_H3.fa	A
Esch_coli_H3_GCF_001900815.1.fa	B1
Esch_coli_H7.fa	A
Esch_coli_H9Ecoli.fa	A
Esch_coli_HKUOPY1.fa	A
Esch_coli_HS30-1.fa	A
Esch_coli_IBS28.fa	B1
Esch_coli_IDR1900005638-01-02.fa	B1
Esch_coli_ISHS7.fa	B1
Esch_coli_J31.fa	A
Esch_coli_JL05.fa	B1
Esch_coli_KKo009.fa	G
Esch_coli_KL53.fa	A
Esch_coli_KSC64.fa	B1
Esch_coli_L37.fa	A
Esch_coli_L7_E1373_ETEC.fa	E
Esch_coli_LAU-OXA.fa	A
Esch_coli_LD22-1.fa	B1
Esch_coli_LD27-1.fa	A
Esch_coli_LD91-1.fa	B1
Esch_coli_LH09-a.fa	B1
Esch_coli_LH50-c.fa	E
Esch_coli_M10.fa	B1
Esch_coli_M18.fa	B1
Esch_coli_MB10.fa	A
Esch_coli_MB19.fa	A
Esch_coli_MB22.fa	A
Esch_coli_MB50.fa	A
Esch_coli_MB56.fa	A
Esch_coli_MDR_56.fa	G
Esch_coli_ML35.fa	A
Esch_coli_MS1170.fa	B2
Esch_coli_MS14386.fa	B1
Esch_coli_MSHS_133.fa	G
Esch_coli_MSHS_472.fa	B1
Esch_coli_N18-04097.fa	A
Esch_coli_NC19.fa	C
Esch_coli_NCTC10973.fa	A
Esch_coli_NCTC11023.fa	A
Esch_coli_NCTC86EC.fa	A
Esch_coli_NCTC9008.fa	A
Esch_coli_NCTC9041.fa	A
Esch_coli_NCTC9080.fa	A
Esch_coli_NCTC9082.fa	B1
Esch_coli_NCTC9087.fa	A
Esch_coli_NCTC9107.fa	A
Esch_coli_NDM1.fa	C
Esch_coli_NMBU-W12E19.fa	A
Esch_coli_Nissle_1917.fa	B2
Esch_coli_OSUCMP42NDM.fa	A
Esch_coli_OW1E2.fa	A
Esch_coli_P15-25.fa	D
Esch_coli_P15-385.fa	B1
Esch_coli_PCN061.fa	A
Esch_coli_PD7.fa	A
Esch_coli_PI7.fa	B1
Esch_coli_PK8276.fa	A
Esch_coli_PM4-5.fa	B1
Esch_coli_PM4.fa	A
Esch_coli_PS10-3.fa	E
Esch_coli_PapRG-06-3.fa	B1
Esch_coli_PapRG-06-5.fa	E
Esch_coli_PigCaeca_1.fa	A
Esch_coli_QA-1986_83.fa	B1
Esch_coli_QEC11-421.fa	A
Esch_coli_Quinolone_resistant_GCF_904426485.1.fa	A
Esch_coli_Quinolone_resistant_GCF_904711295.1.fa	A
Esch_coli_Quinolone_resistant_GCF_904711305.1.fa	A
Esch_coli_Quinolone_resistant_GCF_904842665.1.fa	B1
Esch_coli_RCAD0514.fa	A
Esch_coli_RIVM_C018249.fa	D
Esch_coli_RIVM_C018576.fa	D
Esch_coli_RIVM_C019217.fa	D
Esch_coli_RIVM_C029020.fa	D
Esch_coli_RM9088.fa	A
Esch_coli_RM9387.fa	B1
Esch_coli_Res13-Lact-EB12-05.fa	A
Esch_coli_Res13-Lact-ER01-35.fa	A
Esch_coli_Res13-Lact-PEB08-01.fa	B1
Esch_coli_Res13-Lact-PEB17-18.fa	C
Esch_coli_Res13-Lact-PER04-33.fa	A
Esch_coli_Res13-Sevr-PER07-33.fa	E
Esch_coli_S3.fa	A
Esch_coli_S30.fa	A
Esch_coli_S50.fa	B1
Esch_coli_S56.fa	B1
Esch_coli_SA31-1.fa	B1
Esch_coli_SBF45.fa	B1
Esch_coli_SC467.fa	B1
Esch_coli_SC475.fa	B1
Esch_coli_SC476.fa	B1
Esch_coli_SCU-102.fa	D
Esch_coli_SCU-104.fa	A
Esch_coli_SCU-105.fa	D
Esch_coli_SCU-113.fa	B1
Esch_coli_SCU-172.fa	F
Esch_coli_SJC33.fa	D
Esch_coli_ST2747_GCF_000599685.1.fa	D
Esch_coli_ST540_GCF_000599625.1.fa	A
Esch_coli_ST648.fa	F
Esch_coli_STEC299.fa	B2
Esch_coli_STEC711.fa	B1
Esch_coli_STEC719.fa	B1
Esch_coli_SaT040.fa	B2
Esch_coli_Sx181-0-1.fa	B1
Esch_coli_TKEC21-17.fa	A
Esch_coli_TUM18780.fa	D
Esch_coli_TUM20902.fa	D
Esch_coli_U1.fa	D
Esch_coli_UMB200201_11.fa	B1
Esch_coli_UPEC-774U_190308.fa	B2
Esch_coli_VCSW8.fa	B1
Esch_coli_VR50.fa	A
Esch_coli_W5-6.fa	A
Esch_coli_WAT.fa	B1
Esch_coli_WG5.fa	A
Esch_coli_WP2-W18-ESBL-08.fa	F
Esch_coli_WP5-S17-ESBL-11.fa	B1
Esch_coli_WP7-S17-ESBL-04.fa	A
Esch_coli_WP8-S17-ESBL-05.fa	B1
Esch_coli_WP8-S18-ESBL-07.fa	D
Esch_coli_WS0115A.fa	A
Esch_coli_W_GCF_000258145.1.fa	B1
Esch_coli_XD35.fa	A
Esch_coli_XH988.fa	B1
Esch_coli_YJ6.fa	A
Esch_coli_YSP8-1.fa	A
Esch_coli_Z0117EC0005.fa	cladeI
Esch_coli_Z0117EC0056.fa	D
Esch_coli_Z0117EC0133.fa	B1
Esch_coli_f9610206-5e81-11e8-bf7f-3c4a9275d6c8.fa	A
Esch_coli_fEC_1.fa	B1
Esch_coli_str_TO6.fa	A
Esch_coli_str_TO60.fa	B2
Esch_fergusonii_EF20JDJ4045.fa	fergusonii
Esch_fergusonii_EF21JD053.fa	fergusonii
Esch_fergusonii_EF91.fa	fergusonii
Esch_fergusonii_RHB19-C05.fa	fergusonii
Esch_fergusonii_RHB28-C21.fa	fergusonii
Esch_fergusonii_RHB38-C01.fa	fergusonii
Shig_dysenteriae_SWHEFF_49.fa	Unknown
Shig_flexneri_STEFF_10.fa	B1
Shig_flexneri_STEFF_12.fa	A
Shig_flexneri_STEFF_16.fa	B1
Shig_flexneri_STEFF_22.fa	B1
Shig_flexneri_STLEFF_38.fa	A
Shig_flexneri_STLIN_8.fa	A
Shig_flexneri_SWHEFF_67.fa	A
Shig_flexneri_SWHEFF_71.fa	B1
Shig_flexneri_SWHIN_104.fa	B1
Shig_flexneri_SWHIN_116.fa	A
Shig_flexneri_WW1.fa	B1
Shig_sp._PIB.fa	D
